Course_ID,Student_ID,Points,Semester
CS506,2021CSM1001,8.9,1
CS506,2021CSM1003,7.9,1
CS506,2021CSM1005,6.7,1
CS506,2021CSM1007,6.9,1
CS506,2021CSM1009,6.7,1
CS506,2021CSM1011,6.9,1
CS509,2021CSM1001,8.8,1
CS509,2021CSM1003,7.9,1
CS509,2021CSM1005,9.3,1
CS509,2021CSM1007,9.2,1
CS509,2021CSM1009,8.4,1
CS509,2021CSM1011,7.8,1
CS526,2021CSM1001,8.6,1
CS526,2021CSM1003,8.4,1
CS526,2021CSM1005,7.3,1
CS526,2021CSM1007,9.1,1
CS526,2021CSM1009,8.6,1
CS526,2021CSM1011,7.1,1
CS527,2021CSM1001,8.2,1
CS527,2021CSM1003,9.4,1
CS527,2021CSM1005,7.2,1
CS527,2021CSM1007,8.8,1
CS527,2021CSM1009,7.9,1
CS527,2021CSM1011,7.8,1
CS503,2021CSM1001,9.9,2
CS503,2021CSM1003,8.9,2
CS503,2021CSM1005,7.7,2
CS503,2021CSM1007,7.9,2
CS503,2021CSM1009,7.7,2
CS503,2021CSM1011,7.9,2
CS512,2021CSM1001,9.8,2
CS512,2021CSM1003,8.9,2
CS512,2021CSM1005,6.3,2
CS512,2021CSM1007,6.2,2
CS512,2021CSM1009,9.4,2
CS512,2021CSM1011,8.8,2
CS539,2021CSM1001,9.6,2
CS539,2021CSM1003,9.4,2
CS539,2021CSM1005,8.3,2
CS539,2021CSM1007,6.1,2
CS539,2021CSM1009,9.6,2
CS539,2021CSM1011,8.1,2
CS517,2021CSM1001,9.2,2
CS517,2021CSM1003,6.4,2
CS517,2021CSM1005,8.2,2
CS517,2021CSM1007,9.8,2
CS517,2021CSM1009,8.9,2
CS517,2021CSM1011,8.8,2
